Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",119.900000,-81.800000,180.000000,top
"C2","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",120.062500,-78.600000,180.000000,top
"C3","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",120.000000,-75.400000,180.000000,top
"C4","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",120.000000,-72.200000,180.000000,top
"C5","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",119.800000,-65.800000,0.000000,top
"C6","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",120.000000,-69.000000,0.000000,top
"C7","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",95.000000,-70.135000,-90.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",95.750000,-68.250000,0.000000,top
"C10","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",95.000000,-72.567500,-90.000000,top
"C11","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",100.280000,-67.800000,180.000000,top
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",88.700000,-65.800000,135.000000,top
"C15","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",112.500000,-79.000000,-90.000000,top
"C16","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",113.750000,-79.075000,-90.000000,top
"C17","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.000000,-79.075000,-90.000000,top
"C_AVDD1","2.2u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.425000,-70.850000,-45.000000,top
"C_CP1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.500000,-72.000000,0.000000,top
"C_CSAREF1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",111.500000,-76.750000,90.000000,top
"C_FLY1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.500000,-73.000000,180.000000,top
"C_VIN_AVDD1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.500000,-71.000000,0.000000,top
"C_VIN_AVDD2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.525000,-68.750000,-90.000000,top
"C_VM1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",107.825000,-69.450000,135.000000,top
"C_VM2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.850000,-68.725000,90.000000,top
"D1","ESD9B3.3ST5G","D_SOD-923",86.750000,-69.250000,-90.000000,top
"D2","ESD9B3.3ST5G","D_SOD-923",86.750000,-71.500000,90.000000,top
"D3","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",124.000000,-72.200000,-90.000000,top
"D4","LED","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",100.200000,-82.200000,180.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4110",105.000000,-89.175000,0.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",95.493193,-88.792190,-130.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",107.600000,-88.885000,-90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",88.608731,-82.206819,-160.000000,top
"J7","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",91.090109,-81.306275,-160.000000,top
"R1","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.750000,-74.250000,0.000000,top
"R2","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",102.000000,-83.605000,180.000000,top
"R3","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",107.600000,-83.605000,0.000000,top
"R4","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",91.177504,-66.022496,-135.000000,top
"R5","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",123.100000,-72.200000,90.000000,top
"R6","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",100.200000,-81.200000,0.000000,top
"R7","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",112.500000,-76.750000,90.000000,top
"R8","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",113.750000,-76.750000,90.000000,top
"R9","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",115.000000,-76.750000,90.000000,top
"R11","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",116.200000,-79.100000,-90.000000,top
"R12","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",116.200000,-76.802500,-90.000000,top
"R_GAIN1","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",108.500000,-76.750000,90.000000,top
"R_MODE1","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",110.500000,-76.750000,90.000000,top
"R_SLEW1","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",109.500000,-76.750000,90.000000,top
"R_nFault1","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",115.500000,-74.100000,180.000000,top
"R_nSLEEP1","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",115.500000,-75.100000,0.000000,top
"R_term1","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",94.250000,-78.750000,180.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",92.500000,-61.300000,45.000000,top
"U2","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",90.750000,-70.250000,180.000000,top
"U3","TPD2E2U06DCK","SOT-323_SC-70",105.000000,-82.800000,90.000000,top
"U5","STM32G0B1KCTx","LQFP-32_7x7mm_P0.8mm",100.750000,-73.750000,-90.000000,top
"U6","DRV8317HREER","WQFN36_REE_TEX",111.750000,-72.500000,180.000000,top
"Y1","ECS-2520MV-160-CN","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",103.140000,-67.210000,-90.000000,top
